TC	METRIC	EXPECTED	ACTUAL	MATCH
TC1	COUNT	400	400	True
TC1	MEAN	242.32	242.32	True
TC1	MEDIAN	239.5	239.5	True
TC1	MODE	393	170,393	False
TC1	SD	145.2581068	145.2581068306	True
TC1	VARIANCE	21152.7996	21099.9176	False
TC2	COUNT	1977	1977	True
TC2	MEAN	250.7840162	250.7840161861	True
TC2	MEDIAN	247	247	True
TC2	MODE	230	230	True
TC2	SD	144.1713187	144.1713186888	True
TC2	VARIANCE	20795.88804	20785.3691324792	False
TC3	COUNT	12624	12624	True
TC3	MEAN	249.7762199	249.7762198986	True
TC3	MEDIAN	249	249	True
TC3	MODE	94	94	True
TC3	SD	145.3178498	145.3178498092	True
TC3	VARIANCE	21118.95039	21117.2774731633	False
TC4	COUNT	12624	12624	True
TC4	MEAN	149.0026735	149.0026734791	True
TC4	MEDIAN	147.75	147.75	True
TC4	MODE	123.75	123.75	True
TC4	SD	130.4144196	130.4144196131	True
TC4	VARIANCE	17009.26822	17007.9208430188	False
TC5	COUNT	311	307	False
TC5	MEAN	241.495114	241.4951140065	True
TC5	MEDIAN	241	241	True
TC5	MODE	393	11,19,46,56,64,76,96,166,170,211,215,268,277,278,290,368,375,393,466	False
TC5	SD	145.4648479	145.4648478606	True
TC5	VARIANCE	21229.17236	21160.0219630977	False
TC6	COUNT	3000.00	3000	True
TC6	MEAN	187906599279775000000.00	187906599279774728192	True
TC6	MEDIAN	188008049965543000000.00	188008049965542998016	True
TC6	MODE	#N/A	#N/A	True
TC6	SD	107382050173809000000.00	107382050173809999872	True
TC6	VARIANCE	11534749616069200000000000000000000000000.00	11530904699530646862954721780958962384896	False
TC7	COUNT	12769.00	12767	False
TC7	MEAN	247467395499715000000.00	247467395499714904064	True
TC7	MEDIAN	246640973074290000000.00	246640973074290016256	True
TC7	MODE	#N/A	#N/A	True
TC7	SD	144605647009847000000.00	144605647009847033856	True
TC7	VARIANCE	20912431153806400000000000000000000000000.00	20910793147136483762414542324695312629760	False
MISMATCHES	11
